type,1,2,3,4,5,6,7,8,9,10
normal,4.1895524e-12,9.833759e-20,6.80677e-14,0.048135847,1.7453689e-13,0.1597915,6.2844397e-13,3.8626142e-13,3.5158865e-19,5.034564e-27
normal,0.0,1.7566707e-28,2.541323e-32,1.6632205e-13,2.7189995e-36,1.08904976e-20,2.66096e-38,6.7579067e-15,1.4155e-26,2.8912076e-26
attack,7.490332e-33,0.9993549,1.0334745e-19,0.0,1.9216335e-37,0.99975324,1.0,0.9994161,0.9999271,5.1645647e-19
attack,2.3549526e-17,1.7767898e-26,2.3046185e-15,6.281034e-10,4.5601283e-27,1.7924877e-27,1.8922215e-17,3.8217674e-16,0.1468747,0.00033944845
normal,3.1041195e-27,3.240484e-25,1.900921e-36,1.2416641e-32,4.7716748e-32,3.0357835e-23,1.1787238e-38,7.2764107e-31,1.4355315e-28,4.5839015e-19
attack,0.0,1.9529584e-31,1.0,4.575851e-25,1.0,4.445798e-21,7.361398e-23,1.0,1.0,1.0
attack,6.403017e-38,0.99999535,6.816907e-17,1.0,2.953029e-13,1.550333e-21,1.9305239e-22,0.9989707,0.9999943,0.9819138
normal,1.5025895e-27,0.5781618,5.2876853e-26,1.2311611e-31,1.6026856e-28,4.6285386e-05,9.913329e-38,4.1413287e-15,8.080278e-05,7.803881e-18
attack,0.0,0.68201816,2.593351e-35,4.709639e-09,2.1658038e-10,6.631099e-09,8.992291e-18,2.2883348e-06,1.718109e-06,2.790976e-20
attack,1.8939951e-20,1.0,1.5609874e-18,1.0,1.0,2.326155e-20,1.0,1.0,9.536229e-08,2.4049942e-09
normal,3.936826e-26,1.2180313e-21,2.0242755e-22,5.5867064e-12,1.4849924e-28,3.340111e-17,1.8295381e-14,1.0736619e-23,2.1157476e-31,1.2663969e-22
normal,3.2883794e-31,4.558621e-32,9.526492e-25,6.2407775e-14,9.05394e-25,2.784426e-12,6.8651367e-31,8.9928374e-26,3.6495448e-28,4.314828e-05
attack,0.0,1.0,3.613894e-12,1.8516699e-32,1.0,1.0,6.5215107e-24,1.0,0.999999,9.486961e-18
normal,4.8468547e-32,7.5536326e-25,1.4793437e-21,8.89508e-28,7.473926e-24,5.645673e-28,1.4161117e-24,1.18710844e-07,4.9595563e-19,1.931705e-27
