type,1,2,3,4,5,6,7,8,9,10
normal,3.8518932e-10,1.01295575e-19,4.2489086e-24,7.719857e-05,8.766649e-17,0.002137065,1.5648095e-25,7.128912e-12,0.94325304,6.3278804e-18
normal,0.0,0.0,2.5266965e-33,8.485271e-31,0.0,0.0,6.6446147e-37,6.4555065e-29,1.5196088e-23,0.0
attack,3.2741807e-26,0.9774467,1.0281892e-27,2.316094e-37,2.9388114e-33,0.99469215,1.0,0.99999845,0.73140657,1.2036623e-20
attack,2.5930798e-38,7.162992e-18,5.2463616e-09,8.2003675e-12,4.77966e-37,2.6835257e-18,1.7893459e-26,2.9688567e-07,0.00603804,0.000985235
normal,4.093418e-33,5.1554955e-17,2.1537372e-22,4.0517516e-33,1.4469447e-21,1.772162e-31,1.3567545e-23,6.110645e-29,3.0902498e-19,0.0
attack,7.055937e-14,3.683007e-16,1.0,3.324594e-22,1.0,1.5225658e-26,1.0895994e-18,1.0,1.0,1.0
attack,0.0,0.9999998,3.5138717e-06,0.9999994,3.6064925e-19,2.862873e-09,4.447494e-21,0.99986833,0.9999974,0.99996495
normal,2.325635e-32,0.0002976656,1.1966908e-33,0.0,0.0,4.8766173e-26,1.1457479e-25,8.794799e-29,3.2549828e-08,7.512339e-10
attack,1.3736452e-35,0.15951431,0.0,4.8822272e-08,3.2925203e-13,0.00041922927,1.4026997e-36,5.9275154e-09,0.24715734,1.0830103e-26
attack,0.13114503,1.0,7.173926e-08,1.0,1.0,2.0551281e-20,1.0,1.0,6.4490236e-32,2.5532037e-12
normal,2.0103282e-14,2.6471815e-15,1.2889687e-13,5.909054e-22,9.101339e-19,2.944303e-30,2.4508672e-31,2.4855417e-25,1.5357568e-16,7.6141445e-20
normal,2.3213717e-17,4.614946e-31,1.1783941e-18,2.6764553e-15,5.5041777e-11,1.5481853e-24,0.0,1.4241576e-15,2.1551732e-09,5.7152244e-15
attack,2.5953104e-20,1.0,2.3653603e-32,1.288562e-11,1.0,1.0,9.224005e-30,1.0,1.0,1.1963077e-25
normal,4.7656403e-15,1.1038825e-18,7.29593e-29,9.939877e-15,4.4601995e-30,1.8008543e-29,5.0049905e-30,3.7967296e-24,9.25559e-22,1.12839984e-14
attack,0.0,1.0,0.8851793,1.6100831e-34,0.9997388,0.9986603,0.3238201,0.0,0.0,0.0
normal,4.932059e-30,2.8959782e-32,1.5292376e-17,4.6288076e-22,1.065245e-13,4.470006e-17,3.5209455e-27,4.704534e-15,2.7601562e-19,1.1589081e-26
attack,2.1270603e-24,0.9999958,1.6423904e-19,1.0,1.0,2.765724e-17,1.0,1.1077484e-22,1.0,1.2053799e-14
attack,9.331662e-16,0.98039985,1.3197485e-11,5.5566507e-09,5.869671e-07,0.9979202,0.9999986,0.0046149194,0.84769887,0.0012699068
attack,1.1154969e-35,0.0,1.0,1.3320705e-32,1.0,1.0,0.0,1.0441671e-32,0.9999969,1.0
attack,1.7523549e-08,7.853702e-16,6.534091e-15,0.999992,1.0,1.0,1.3454667e-31,0.611986,0.6400429,6.927667e-13
normal,2.5423122e-17,0.0,8.080951e-12,5.108716e-28,7.65163e-32,2.325854e-27,0.0068756044,6.49614e-15,4.353524e-37,2.6835888e-13
attack,0.0,6.682735e-06,1.0,1.0,1.0,8.179417e-07,1.0,1.0,1.387714e-26,3.610486e-07
attack,6.7494977e-18,1.4019769e-22,1.0,1.1102737e-15,8.059303e-36,1.09323235e-36,1.0,1.0,1.0,1.0
